ConditionRating,OriginalPrice,Vendor,Model,RAM,ROM,UsageTime,Warranty,DentsRating,ScratchesRating,CameraWorking,ScreenCracks,DIsplayWorks,PredictedPrice
4,80000,Apple,iphone 11pro max,6,64,0.4,Yes,0,0,Yes,No,Yes,79000
1,22999,Xiaomi,Power 9,4,128,1.5,No,0,2,Yes,Yes,Yes,10000
4,300000,Apple,13 pro ,8,128,6,Yes,0,0,Yes,No,Yes,200000
2,22000,Samsung,M21,4,64,3,No,3,4,Yes,Yes,No,8000
1,22000,Samsung,A20,4,32,3.5,No,1,1,Yes,No,Yes,6000
1,9000,Samsung,Samsung A2 core,8,2,4,No,0,4,Yes,Yes,No,2000
3,27000,Samsung,Samsung Galaxy A22,6,128,1,Yes,0,1,Yes,No,Yes,30000
2,25000,Xiaomi,realme,4,128,3,No,0,0,Yes,No,Yes,20000
3,19500,Xiaomi,9 power,4,64,1.5,No,0,1,Yes,Yes,Yes,12000
2,20000,Vivo ,V20,3,64,1,No,0,0,Yes,No,Yes,10000
3,20000,Infinix,Note 9,4,64,3,No,3,1,Yes,Yes,Yes,15000
4,45000,OnePlus ,AC2003,12,256,3,Yes,0,0,Yes,No,Yes,36000
2,34000,Xiaomi,Note 10 Pro,6,128,1,Yes,1,0,Yes,No,Yes,20000
4,21500,Samsung,A13,4,64,0.25,Yes,0,0,Yes,No,Yes,21500
3,90000,Samsung,Samsung  Galaxy S22,12,256,3,Yes,0,1,No,Yes,Yes,80000
2,27000,Xiaomi,Note 5 pro,6,64,5,No,0,1,No,No,Yes,5000
1,16000,Samsung,J7 Prime,3,32,8,No,4,4,Yes,Yes,Yes,6000
1,16000,Vivo,Vivo 1820,2,16,2,No,2,3,Yes,Yes,No,4000
3,26000,Redmi ,Vandina hai yo ta,4,256,2,No,0,0,Yes,No,Yes,100000
3,19400,Samsung,Samsung M20,3,32,2,No,1,2,Yes,No,Yes,9999
3,31000,Xiaomi,Poco X11,16,256,6,Yes,1,1,Yes,No,Yes,36000
2,80000,Iphone,Iphone xs,4,256,0.5,No,0,0,Yes,No,Yes,50000
2,21000,Samsung,Samsung M21 series. ,6,64,2,No,1,3,Yes,Yes,Yes,15000
3,85,Samsung,Samsung galaxy note 9,6,512,3,No,0,0,Yes,No,No,60000
2,20000,Xiaomi,Poco ,4,64,3,No,3,3,No,Yes,Yes,10000
3,28000,Xiaomi,Redmi Note 8 Pro,6,64,2,No,0,1,Yes,Yes,Yes,20000
2,14000,Samsung,Samsung ,2,32,1,No,1,1,Yes,Yes,Yes,3000
3,32000,Xiaomi,Redmi Note 10 Pro ( Max ),6,128,1.5,No,0,0,Yes,No,Yes,24000
3,179999,Samsung,Samsung Galaxy S22 Ultra ,12,512,8,Yes,0,0,Yes,No,Yes,100000
3,23000,Xiaomi,Redme note 9,128,8,3,No,0,0,Yes,No,Yes,15000
4,80000,OnePlus ,Nord 2,12,256,0.2,Yes,0,0,Yes,No,Yes,70000
3,26000,Xiaomi,Note 9 pro,4,128,1.4,No,2,3,No,Yes,Yes,10000
3,20000,Real Me,Narzo 50A,4,128,1,Yes,0,0,Yes,No,Yes,12000
4,215000,Apple,14 pro,6,256,1,Yes,0,0,Yes,No,Yes,200000
4,100000,Apple,iPhone 12 Pro ,6,256,1,No,1,1,Yes,No,Yes,70000
4,174000,Apple,Iphone 13 pro,6,128,0.5,Yes,0,0,Yes,No,Yes,160000
2,20000,Samsung,Samsung M21,4,64,2,No,1,2,Yes,Yes,No,8000
2,13999,Samsung,SGM02s,4,64,2,No,2,4,Yes,Yes,Yes,8000
2,50000,Samsung,galaxy s9+,8,256,4,No,4,4,Yes,Yes,Yes,10000
3,40000,Samsung,M62,8,132,0.9,Yes,0,0,Yes,Yes,Yes,36000
3,65000,OnePlus ,OnePlus 9R,8,256,1,No,0,3,Yes,No,Yes,35000
3,32000,Xiaomi,MI 10i,8,128,2,No,4,4,Yes,Yes,No,20000
3,14000,Xiaomi,Redmi 9A,2,32,2.5,No,0,0,Yes,No,Yes,7000
1,1500,nokia,nokia,2,0.5,1,No,0,0,No,No,No,1200
2,16k,Samsung,j,1.6,16,5,No,1,0,Yes,Yes,Yes,5000
2,8000,Oppo,Oppo a37fw,2,16,3,No,0,2,Yes,Yes,Yes,2000
3,21000,Samsung,M21,4,64,3,Yes,1,1,Yes,No,Yes,5000
3,24K,Samsung,Samsung XX,460,14,1,No,0,0,Yes,No,Yes,19000
2,20000,Samsung,F22,4,64,1,No,1,1,Yes,Yes,Yes,12000
3,25000,Samsung,F 22 pro,4,128,0.25,Yes,0,0,Yes,No,Yes,20000
3,59000,Samsung,Samsung galaxy note 10 lite ,8,128,2,No,1,2,Yes,No,Yes,40000
2,30000,Samsung,A50,4,128,4,Yes,0,0,Yes,No,Yes,10000
4,23000,Xiaomi,Redmi,4,64,1,No,0,0,Yes,No,Yes,18000
3,34999,Xiaomi,Note 10 Pro,45,164,1,No,1,0,Yes,No,Yes,29000
3,108000,Apple,Iphone 8+,4,64,3,No,1,1,Yes,No,Yes,50000
3,25000,Samsung,A21s,4,64,1,No,1,1,Yes,Yes,Yes,12000
1,65000,Apple,iPhone 6s,2,32,6,No,0,2,Yes,No,Yes,10000
2,18500,Xiaomi,Redmi 9,6,64,3,No,0,1,Yes,Yes,Yes,12999
4,70000,Apple,11,4,128,3,Yes,0,0,Yes,No,Yes,50000
2,20000,Apple,iphone 6,1,16,1,No,1,3,Yes,Yes,No,7000
4,35000,Realme,Realme 9,8,256,1,Yes,0,0,Yes,No,Yes,30000
3,15000,Xiaomi,Poco C3,4,64,1,Yes,0,0,Yes,No,Yes,10000
1,13000,Xiaomi,Redmi 6A,2,16,4,No,0,0,Yes,Yes,Yes,6000
3,130000,Samsung,Galaxy Note 20 Ultra 5G,12,512,0.5,No,0,0,Yes,No,Yes,100000
3,45000,Xiaomi,Poco F3,8,128,1.7,No,0,0,Yes,No,Yes,30000
2,13000,Xiaomi,Redme 9A,3,20,2,No,0,1,Yes,Yes,Yes,10000
